# BrainBoost Demo & Academic Training Dataset for Cognitive/Aptitude Skill Level Classification
accuracy,avg_response_time,memory_score,attention_score,logic_score,pattern_score,quant_score,reasoning_score,verbal_score,completed_levels,overall_score,skill_level
35.0,42.5,30,40,35,30,35,30,40,2,240,Beginner
40.0,40.0,35,45,40,35,30,35,45,3,310,Beginner
42.5,38.2,40,40,35,40,35,40,35,4,380,Beginner
45.0,36.5,45,35,40,45,40,35,40,4,420,Beginner
38.0,44.0,30,35,30,35,30,30,35,1,190,Beginner
48.0,35.0,50,45,40,45,45,40,45,5,510,Beginner
50.0,34.0,48,50,45,50,45,45,50,6,560,Beginner
32.0,46.0,25,30,35,25,30,25,30,1,150,Beginner
44.0,39.0,40,45,40,35,40,40,45,3,340,Beginner
46.0,37.5,45,40,45,40,45,40,40,4,410,Beginner
49.0,33.5,48,52,46,48,50,46,48,5,530,Beginner
36.0,43.0,35,30,35,40,30,35,35,2,230,Beginner
41.0,41.0,38,42,40,38,42,38,40,3,320,Beginner
47.0,36.0,46,48,44,46,44,45,48,5,490,Beginner
39.0,42.0,36,38,40,36,38,36,38,2,270,Beginner
43.0,38.5,42,44,40,42,40,42,44,3,360,Beginner
51.0,33.0,50,52,50,48,52,50,50,6,590,Beginner
34.0,45.5,28,32,30,28,32,30,32,1,180,Beginner
48.5,34.5,47,50,48,47,48,47,50,5,520,Beginner
40.5,39.5,38,40,42,38,40,40,42,3,330,Beginner
62.0,24.5,65,60,62,65,60,65,60,12,1250,Intermediate
68.0,21.0,70,68,65,70,68,65,70,16,1680,Intermediate
72.5,18.5,75,70,72,75,70,72,75,20,2150,Intermediate
65.0,23.0,68,65,62,68,65,65,68,14,1420,Intermediate
70.0,19.5,72,70,68,72,70,68,72,18,1890,Intermediate
75.0,17.0,78,74,75,76,75,74,76,22,2480,Intermediate
64.0,23.5,62,66,64,62,66,64,66,13,1340,Intermediate
66.5,22.0,66,68,65,66,68,65,68,15,1560,Intermediate
74.0,17.5,75,76,74,75,76,74,75,21,2320,Intermediate
69.0,20.5,70,70,68,70,70,68,70,17,1770,Intermediate
71.0,19.0,72,72,70,72,72,70,72,19,2010,Intermediate
63.0,24.0,64,62,65,64,62,65,64,12,1290,Intermediate
67.0,21.5,68,66,67,68,66,67,68,15,1610,Intermediate
73.0,18.0,74,75,72,74,75,72,74,20,2230,Intermediate
76.0,16.5,76,78,75,76,78,75,76,23,2600,Intermediate
61.5,25.0,60,64,62,60,64,62,64,11,1180,Intermediate
68.5,20.8,70,67,69,70,67,69,70,16,1720,Intermediate
72.0,18.8,73,71,73,73,71,73,73,19,2110,Intermediate
65.5,22.5,65,66,64,65,66,64,66,14,1480,Intermediate
70.5,19.2,71,71,70,71,71,70,71,18,1950,Intermediate
88.0,11.2,90,88,86,90,88,86,90,34,4200,Advanced
92.5,8.8,94,92,90,94,92,90,94,42,5450,Advanced
95.0,7.5,96,95,94,96,95,94,96,48,6300,Advanced
86.0,12.0,88,85,86,88,85,86,88,30,3750,Advanced
90.0,9.8,92,90,88,92,90,88,92,38,4850,Advanced
96.5,6.8,98,96,95,98,96,95,98,52,6980,Advanced
89.0,10.5,90,89,88,90,89,88,90,36,4520,Advanced
93.0,8.2,95,93,92,95,93,92,95,44,5780,Advanced
97.0,6.2,98,98,96,98,98,96,98,55,7450,Advanced
87.5,11.5,89,87,86,89,87,86,89,32,4010,Advanced
91.0,9.2,93,91,90,93,91,90,93,40,5120,Advanced
94.5,7.8,96,94,93,96,94,93,96,46,6050,Advanced
98.0,5.8,99,98,97,99,98,97,99,58,7900,Advanced
88.5,10.8,90,88,87,90,88,87,90,35,4380,Advanced
91.5,9.0,93,92,91,93,92,91,93,41,5300,Advanced
95.5,7.2,97,95,94,97,95,94,97,50,6620,Advanced
85.5,12.5,86,86,85,86,86,85,86,28,3520,Advanced
93.5,8.0,95,94,92,95,94,92,95,45,5910,Advanced
90.5,9.5,92,91,89,92,91,89,92,39,4990,Advanced
99.0,5.2,100,99,98,100,99,98,100,60,8300,Advanced
